date,open,close,high,low,volume
2020-05-25,24.9942912000,24.3826974000,25.0090284000,24.2426940000,43264917
2020-05-26,24.5374380000,24.6332298000,24.6774414000,24.3826974000,32246077
2020-05-27,24.7363902000,24.6332298000,25.0385028000,24.4932264000,32083331
2020-05-28,24.7437588000,25.2153492000,25.5690420000,24.6332298000,69362331
2020-05-29,24.9500796000,24.9206052000,25.1490318000,24.8321820000,37237481
2020-06-01,25.1637690000,25.6574652000,25.7679942000,25.1269260000,48823746
2020-06-02,25.4585130000,25.8195744000,25.9816836000,25.4511444000,49295713
2020-06-03,26.1216870000,25.9522092000,26.5269600000,25.8048372000,61018691
2020-06-04,26.1585300000,25.9006290000,26.1953730000,25.8416802000,25756086
2020-06-05,26.0111580000,25.9669464000,26.1364242000,25.6500966000,32717303
2020-06-08,26.1953730000,26.2837962000,26.6669634000,26.1585300000,50180979
2020-06-09,26.2395846000,26.1806358000,26.2985334000,25.9816836000,30093079
2020-06-10,26.2616904000,26.0406324000,26.2690590000,25.9227348000,27273061
2020-06-11,25.9448406000,25.3995642000,26.0258952000,25.2816666000,58892745
2020-06-12,25.0458714000,25.4216700000,25.4216700000,24.8321820000,54661576
2020-06-15,25.0827144000,24.7363902000,25.1858748000,24.6553356000,65434347
2020-06-16,25.0532400000,25.1564004000,25.1858748000,24.9132366000,38163105
2020-06-17,25.0532400000,25.2006120000,25.2816666000,24.9279738000,30627774
2020-06-18,24.9648168000,24.9721854000,25.0974516000,24.3311172000,92293933
2020-06-19,24.9058680000,24.9500796000,25.3037724000,24.7584960000,67949603
2020-06-22,24.8027076000,24.6848100000,24.9427110000,24.5595438000,59581469
2020-06-23,24.5374380000,24.5742810000,24.7142844000,24.3974346000,45252939
2020-06-24,24.6995472000,24.9795540000,25.0237656000,24.6921786000,47989117
2020-06-29,25.1785062000,24.7879704000,25.2742980000,24.6774414000,56729748
2020-06-30,24.9427110000,24.8469192000,25.0237656000,24.7879704000,39156798
2020-07-01,24.8984994000,25.6353594000,25.6427280000,24.7658646000,79909645
2020-07-02,25.5321990000,26.0111580000,26.1364242000,25.2742980000,124517798
2020-07-03,26.0848440000,27.0722364000,27.0869736000,26.0480010000,153570417
2020-07-06,27.3964548000,29.7765126000,29.7765126000,27.3964548000,187492888
2020-07-07,30.8007480000,30.2554716000,31.9060380000,29.8428300000,201633829
2020-07-08,30.1375740000,29.8428300000,30.8523282000,29.4522942000,182703889
2020-07-09,29.8501986000,29.4080826000,29.9312532000,29.1280758000,169323629
2020-07-10,29.4081031300,28.2989367500,29.6284170000,28.1469961500,152815945
2020-07-13,28.1166080300,28.3369219000,28.8687140000,27.8583090100,163406373
2020-07-14,28.1621902100,27.7367565300,28.4280862600,27.5240396900,131086591
2020-07-15,28.1014139700,27.2429495800,28.1242050600,27.1213971000,134114248
2020-07-16,27.3872931500,27.0454268000,27.7899357400,27.0378297700,142952326
2020-07-17,27.2505466100,27.4100842400,27.5012486000,26.8251129300,116991781
2020-07-20,27.4252783000,28.3141308100,28.4508773500,27.2353525500,159415734
